question,answer,document
What title does Ralf Brown hold?,Senior Systems Scientist/Chair of Admissions,faculty_overview.txt
Who are the professors currently on leave?,"Justine Cassell, Louis-Philippe Morency, Alexander Waibel, Eric Xing",faculty_overview.txt
Who is the LTI Director and tenured professor?,Mona Diab,faculty_overview.txt
What is Fernando Diaz's role?,Associate Professor,faculty_overview.txt
Who holds the title of Professor Emeritus?,Scott Fahlman,faculty_overview.txt
Who is the Associate Dean for PhD Programs?,Robert Frederking,faculty_overview.txt
Is Daniel Fried an associate or assistant professor?,Assistant Professor,faculty_overview.txt
Who is named as a research professor?,"Alexander Hauptmann, Lori Levin, Teruko Mitamura",faculty_overview.txt
How many assistant professors are mentioned?,7,faculty_overview.txt
What is a focus of Yiming Yang's recent research?,Large-Scale Structured Learning,yiming_yang
Yiming Yang's research area in web-mining?,Concept graph discovery,yiming_yang
Which conference did Yiming Yang present on hierarchical classification?,KDD 2013,yiming_yang
What position does Chenyan Xiong hold at CMU?,Associate Professor,chenyan_xiong
How to contact Chenyan Xiong via email?,cx@andrew.cmu.edu,chenyan_xiong
Which institute is Chenyan Xiong associated with?,Language Technologies Institute,chenyan_xiong
What is Eric P. Xing's current status at CMU?,On Leave,eric_xing
Eric P. Xing's primary research focus?,Machine learning and statistical methodology,eric_xing
How to contact Eric P. Xing via email?,epxing@andrew.cmu.edu,eric_xing
What position does Sean Welleck hold at CMU?,Assistant Professor,sean_welleck
How to contact Sean Welleck via email?,swelleck@andrew.cmu.edu,sean_welleck
Which institute is Sean Welleck associated with?,Language Technologies Institute,sean_welleck
What is Shinji Watanabe's area of expertise?,NLP and Speech Processing,shinji_watanabe
How to contact Shinji Watanabe via email?,swatanab@andrew.cmu.edu,shinji_watanabe
Shinji Watanabe's position at CMU?,Associate Professor,shinji_watanabe
What is Alexander Waibel known for?,Time-Delay Neural Network,alexander_waibel
How to contact Alexander Waibel via email?,waibel@cs.cmu.edu,alexander_waibel
Alexander Waibel's research areas include?,"Machine Translation, Speech Processing",alexander_waibel
What position does Emma Strubell hold at CMU?,Assistant Professor,emma_strubell
How to contact Emma Strubell via email?,estrubel@andrew.cmu.edu,emma_strubell
Emma Strubell's professional website?,https://strubell.github.io/,emma_strubell
What is Rita Singh's title at CMU?,Associate Research Professor,rita_singh
How to contact Rita Singh via email?,rsingh@cs.cmu.edu,rita_singh
How to contact Michael Shamos via email?,shamos@cs.cmu.edu,michael_shamos
Michael Shamos is affiliated with which institute?,"Language Technologies Institute, Institute for Software Research",michael_shamos
What is Maarten Sap's research focus?,"Computational Social Science, Conversational AI",maarten_sap
How to contact Maarten Sap via email?,msap2@andrew.cmu.edu,maarten_sap
Maarten Sap's professional website?,http://maartensap.com/,maarten_sap
Alexander Rudnicky's research focuses on what aspect of technology?,Speech-based interactive systems,alexander_rudnicky
What is a current interest of Alexander Rudnicky in speech technology?,"Implicit Learning, Error Recovery",alexander_rudnicky
How to contact Alexander Rudnicky via email?,alex.rudnicky@cs.cmu.edu,alexander_rudnicky
What are Carolyn Rosé's main research areas?,"CSCL/MOOCs, IR, Text Mining, NLP",carolyn_rose.txt
What is Carolyn Rosé's research goal?,Improve conversation efficacy,carolyn_rose.txt
How does Carolyn Rosé support learning in MOOCs?,Leads DANCE working group,carolyn_rose.txt
What are Bhiksha Raj's main research areas?,"ML, Multimodal Computing, Privacy",bhiksha_raj.txt
Where does Kemal Oflazer teach?,CMU-Qatar Campus,kemal_oflazer.txt
What are Eric Nyberg's research areas?,"IE, Summarization, QA",eric_nyberg.txt
What are Graham Neubig's research areas?,"ML, Machine Translation, NLP",graham_neubig.txt
What is Graham Neubig's research goal?,Break down communication barriers,graham_neubig.txt
Where does Graham Neubig work?,5409 Gates & Hillman,graham_neubig.txt
What degree does David Mortensen have?,MS in Intelligent Systems,david_mortensen.txt
What is Morency's research intersection?,"ML, Computer Vision, Linguistics",louis_philippe_morency.txt
What models did Morency create?,"HCRF, LDCRF, CCNF",louis_philippe_morency.txt
What is Morency's application focus?,"Education, Healthcare",louis_philippe_morency.txt
Who focuses on Speech Processing in their research?,"Shinji Watanabe, Alexander Waibel","shinji_watanabe.txt, alexander_waibel.txt"
Name professors who have contributed to Computational AI?,Maarten Sap,maarten_sap.txt
What paper introduces SPAE for multimodal generation with frozen LLMs?,SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,yonatan bisk_papers.txt
Which 2023 paper by Yonatan Bisk focuses on open-vocabulary mobile manipulation?,HomeRobot: Open-Vocabulary Mobile Manipulation,yonatan bisk_papers.txt
What is the title of Yonatan Bisk's work on learning multi-sensory object property representations?,MOSAIC: Learning Unified Multi-Sensory Object Property Representations for Robot Perception,yonatan bisk_papers.txt
Which paper by Jamie Callan discusses conversational search using random walks?,Conversational Search with Random Walks over Entity Graphs,jamie callan_papers.txt
What does KALE stand for in Jamie Callan's 2023 paper?,Using a K-Sparse Projector for Lexical Expansion,jamie callan_papers.txt
Name the paper by Jamie Callan that focuses on sparse lexical retrieval.,CSurF: Sparse Lexical Retrieval through Contextualized Surface Forms,jamie callan_papers.txt
Which faculty member released 0 open access papers in 2023?,Ralf Brown,ralf brown_papers.txt
What 2023 paper by Graham Neubig discusses few-shot clustering with LLMs?,Large Language Models Enable Few-Shot Clustering,graham neubig_8e8a1489bf4d782d2435cdeb93f7d1f165747c63_metadata.txt
Who are the co-authors of Eric Nyberg's 2023 paper on multilingual QA?,"Srinivas Gowriraj, Soham Dinesh Tiwari, Mitali Potnis, Srijan Bansal, T. Mitamura",eric nyberg_444737639aeea4e1e616509e368afb0bae8f89d6_metadata.txt
Where was Eric Nyberg's 2023 paper on language-agnostic transformers presented?,Workshop on Document-grounded Dialogue and Conversational Question Answering,eric nyberg_444737639aeea4e1e616509e368afb0bae8f89d6_metadata.txt
What is the TLDR of Nyberg's 2023 paper on multilingual document-grounded QA?,The language-agnostic approach is superior for multilingual pre-trained transformer models in DPR.,eric nyberg_444737639aeea4e1e616509e368afb0bae8f89d6_metadata.txt
Which grants supported Fernando Diaz's 2023 study on pneumococcal vaccines?,"National Institute of Health (R35 GM124922, R01 AG052608), JAX cancer center (JAX-CC)",fernando diaz_a76e7e394112a26116446a2920467a2702de5f56_metadata.txt
What significance does Fernando Diaz's 2023 paper hold regarding pneumococcal vaccines?,It's the first study to uncover older adults’ responses to two pneumococcal vaccines,fernando diaz_a76e7e394112a26116446a2920467a2702de5f56_metadata.txt
What predicts vaccine responsiveness in older adults according to Fernando Diaz's 2023 study?,Pre-vaccination CD56 dimCD16 +NK cell abundance and Th1/Th17 ratio,fernando diaz_a76e7e394112a26116446a2920467a2702de5f56_metadata.txt
What time is the Phi Beta Kappa Initiation Ceremony scheduled to begin?,The Phi Beta Kappa Initiation Ceremony is scheduled to begin at 2 p.m.,Events_Data/Documents/Commencement.txt
Where will the Phi Beta Kappa Initiation Ceremony take place?,"The Phi Beta Kappa Initiation Ceremony will take place at McConomy Auditorium, Cohon University Center.",Events_Data/Documents/Commencement.txt
When is the reception following the Phi Beta Kappa Initiation Ceremony scheduled to start?,The reception following the Phi Beta Kappa Initiation Ceremony is scheduled to start at 3 p.m.,Events_Data/Documents/Commencement.txt
What is the location of the reception following the Phi Beta Kappa Initiation Ceremony?,"The location of the reception following the Phi Beta Kappa Initiation Ceremony is the Connan Room, Cohon University Center.",Events_Data/Documents/Commencement.txt
Who are the contacts for inquiries regarding the Phi Beta Kappa Initiation Ceremony?,The contacts for inquiries regarding the Phi Beta Kappa Initiation Ceremony are Joseph Devine (jd0x@andrew.cmu.edu) and Joanne Ursenbach (joanneu@andrew.cmu.edu).,Events_Data/Documents/Commencement.txt
When is the President's Graduates Toast scheduled to take place?,The President's Graduates Toast is scheduled to take place from 3:30 p.m. to 4:30 p.m.,Events_Data/Documents/Commencement.txt
Is registration required for the President's Graduates Toast?,"Yes, registration is required for the President's Graduates Toast.",Events_Data/Documents/Commencement.txt
When will invitations for the President's Graduates Toast be sent out?,Invitations for the President's Graduates Toast will be sent out in late April.,Events_Data/Documents/Commencement.txt
Where will the First Gen Graduation Recognition reception be held?,"The First Gen Graduation Recognition reception will be held in the Alumni Concert Hall, College of Fine Arts.",Events_Data/Documents/Commencement.txt
What time is the First Gen Graduation Recognition ceremony scheduled to begin?,The First Gen Graduation Recognition ceremony is scheduled to begin at 5:30 p.m.,Events_Data/Documents/Commencement.txt
Where will the First Gen Graduation Recognition ceremony take place?,"The First Gen Graduation Recognition ceremony will take place in Kresge Theater, College of Fine Arts.",Events_Data/Documents/Commencement.txt
Who are the contacts for inquiries regarding the First Gen Graduation Recognition events?,The contacts for inquiries regarding the First Gen Graduation Recognition events are M. Shernell Smith (mssmith@andrew.cmu.edu) and Sam Colavecchio (scolavec@andrew.cmu.edu).,Events_Data/Documents/Commencement.txt
What is the contact email for Joseph Devine regarding the Phi Beta Kappa Initiation Ceremony?,Joseph Devine's contact email regarding the Phi Beta Kappa Initiation Ceremony is jd0x@andrew.cmu.edu.,Events_Data/Documents/Commencement.txt
What is the contact email for Joanne Ursenbach regarding the Phi Beta Kappa Initiation Ceremony?,Joanne Ursenbach's contact email regarding the Phi Beta Kappa Initiation Ceremony is joanneu@andrew.cmu.edu.,Events_Data/Documents/Commencement.txt
What is the phone number for Sam Colavecchio regarding the First Gen Graduation Recognition events?,The phone number for Sam Colavecchio regarding the First Gen Graduation Recognition events is 412-268-7733.,Events_Data/Documents/Commencement.txt
What date are the Diploma Ceremonies scheduled for?,"The Diploma Ceremonies are scheduled for Friday, May 10.",Events_Data/Documents/Commencement.txt
What is the time frame for the Senior Leadership Recognition Ceremony?,The Senior Leadership Recognition Ceremony is scheduled from 4 p.m. to 5:30 p.m.,Events_Data/Documents/Commencement.txt
Where will the Senior Leadership Recognition Ceremony take place?,"The Senior Leadership Recognition Ceremony will take place at Wiegand Gym, Cohon University Center.",Events_Data/Documents/Commencement.txt
Who is invited to the Senior Leadership Recognition Ceremony?,Undergraduate students and their guests who receive invitations are invited to the Senior Leadership Recognition Ceremony.,Events_Data/Documents/Commencement.txt
What is the purpose of the Senior Leadership Recognition Ceremony?,The Senior Leadership Recognition Ceremony recognizes nominated seniors who have reflected upon their specific leadership contributions during their time at CMU.,Events_Data/Documents/Commencement.txt
What is the purpose of the main commencement ceremony?,"The main commencement ceremony is for the conferral of all degrees and includes remarks from the president, keynote speaker, student speaker, academic deans, and recognition of honorary degree recipients.",Events_Data/Documents/Commencement.txt
Is there a limit on the number of guests who can attend the main commencement ceremony?,"No, there is no limit on the number of guests who can attend the main commencement ceremony.",Events_Data/Documents/Commencement.txt
Will tickets be required for guests attending the main commencement ceremony?,"No, tickets will not be needed for guests attending the main commencement ceremony.",Events_Data/Documents/Commencement.txt
What time will the main commencement ceremony begin?,"The main commencement ceremony will begin at 10 a.m. on Sunday, May 12.",Events_Data/Documents/Commencement.txt
By what time must all guests be seated for the main commencement ceremony?,All guests must be seated by 9:15 a.m. for the start of the student procession at the main commencement ceremony.,Events_Data/Documents/Commencement.txt
What will happen if guests arrive after the student procession has begun at the main commencement ceremony?,Access to guest seating will be restricted once the student procession begins at the main commencement ceremony.,Events_Data/Documents/Commencement.txt
What activities are included in the diploma ceremonies?,"Diploma ceremonies include the presentation of diplomas to graduates, hooding of doctoral candidates, and remarks from their college/school/department leadership.",Events_Data/Documents/Commencement.txt
Will there be receptions at the diploma ceremonies?,"Yes, diploma ceremonies typically include a reception for attendees.",Events_Data/Documents/Commencement.txt
How long will each diploma ceremony last?,"The length of each diploma ceremony varies based on the number of graduates and the specific program, but they typically last for a certain duration.",Events_Data/Documents/Commencement.txt
What is the duration of the Center for Student Diversity and Inclusion Ceremony?,"The Center for Student Diversity and Inclusion Ceremony is scheduled to last approximately 1 hour and 15 minutes, from 1 p.m. to 2:15 p.m.",Events_Data/Documents/Commencement.txt
Will there be a reception before the Center for Student Diversity and Inclusion Ceremony?,"Yes, there will be a reception at 12:30 p.m. before the Center for Student Diversity and Inclusion Ceremony.",Events_Data/Documents/Commencement.txt
Where is the Tepper Building Atrium located?,The Tepper Building Atrium is located on CMU's campus.,Events_Data/Documents/Commencement.txt
What is the purpose of The President’s Reception in honor of CMU’s Doctoral Candidates?,The President’s Reception in honor of CMU’s Doctoral Candidates is held to celebrate and recognize CMU's doctoral candidates.,Events_Data/Documents/Commencement.txt
Are all students invited to The President’s Reception?,"Yes, all doctoral candidates at CMU are invited to The President’s Reception.",Events_Data/Documents/Commencement.txt
Will there be any speeches or remarks during The President’s Reception?,"There may be speeches or remarks during The President’s Reception to honor the doctoral candidates, but specific details are not provided.",Events_Data/Documents/Commencement.txt
How can guests access the Tepper Building Atrium for The President’s Reception?,Guests can access the Tepper Building Atrium for The President’s Reception through designated entrances on CMU's campus.,Events_Data/Documents/Commencement.txt
What is the purpose of the Naval ROTC Commissioning Ceremony?,The purpose of the Naval ROTC Commissioning Ceremony is to commission graduating students into the United States Navy or Marine Corps.,Events_Data/Documents/Commencement.txt
Will there be any special protocol or dress code for attendees of the Naval ROTC Commissioning Ceremony?,"Yes, attendees of the Naval ROTC Commissioning Ceremony are typically expected to adhere to military dress code or formal attire.",Events_Data/Documents/Commencement.txt
How long is the Naval ROTC Commissioning Ceremony expected to last?,The Naval ROTC Commissioning Ceremony is expected to last for approximately 1 hour.,Events_Data/Documents/Commencement.txt
Are guests allowed to attend the Naval ROTC Commissioning Ceremony?,"Yes, guests are allowed to attend the Naval ROTC Commissioning Ceremony, but specific restrictions or guidelines may apply.",Events_Data/Documents/Commencement.txt
Will there be any special guests or dignitaries present at The President’s Reception in honor of CMU’s Doctoral Candidates?,"The presence of special guests or dignitaries at The President’s Reception in honor of CMU’s Doctoral Candidates may vary, and it depends on the specific arrangements made for the event.",Events_Data/Documents/Commencement.txt
Is there any registration required for attendees of The President’s Reception?,"Information about registration requirements for attendees of The President’s Reception is not provided; however, attendees may need to RSVP or register through formal channels.",Events_Data/Documents/Commencement.txt
How will attendees receive invitations to The President’s Reception?,Invitations to The President’s Reception are typically sent out via email or mail to CMU's doctoral candidates.,Events_Data/Documents/Commencement.txt
Will there be any specific activities or entertainment at The President’s Reception?,"The specific activities or entertainment planned for The President’s Reception are not specified, but it may include networking opportunities, speeches, or refreshments.",Events_Data/Documents/Commencement.txt
What is the significance of the student procession during the commencement ceremony?,The student procession during the commencement ceremony is a symbolic march representing the transition of graduates from students to alumni.,Events_Data/Documents/Commencement.txt
How should graduates participate in the robing and procession?,Graduates should robe and assemble at designated locations on campus before participating in the procession to the commencement venue.,Events_Data/Documents/Commencement.txt
Are there specific instructions for guests attending the Commencement Ceremony?,"Yes, guests should be seated in the stadium before the student procession begins, and they should follow any instructions provided by event staff.",Events_Data/Documents/Commencement.txt
Will there be any guest speakers at the Commencement Ceremony?,"Information about guest speakers at the Commencement Ceremony is not provided; however, remarks from university officials and distinguished guests may be included in the program.",Events_Data/Documents/Commencement.txt
"What is the purpose of the diploma ceremonies scheduled for Sunday, May 12?","The purpose of the diploma ceremonies scheduled for Sunday, May 12, is to individually recognize and celebrate graduates from specific academic programs.",Events_Data/Documents/Commencement.txt
Where can guests find information about the location and timing of diploma ceremonies?,Guests can find information about the location and timing of diploma ceremonies through official communication channels from the university or respective academic departments.,Events_Data/Documents/Commencement.txt
Are graduates required to wear academic regalia during the commencement events?,"Yes, graduates are typically required to wear academic regalia, including gowns, caps, and hoods, during the commencement events.",Events_Data/Documents/Commencement.txt
Will there be any live streaming or recording of the Commencement Ceremony for remote viewing?,"Information about live streaming or recording of the Commencement Ceremony for remote viewing is not provided; however, the university may offer such services for accessibility.",Events_Data/Documents/Commencement.txt
How long is the robing and procession expected to last?,"The robing and procession for graduates is expected to last for approximately 1 hour, from 9 a.m. to 10 a.m.",Events_Data/Documents/Commencement.txt
Are there any restrictions on items guests can bring to Gesling Stadium for the Commencement Ceremony?,"Information about restrictions on items guests can bring to Gesling Stadium for the Commencement Ceremony is not provided; however, typical venue policies may apply.",Events_Data/Documents/Commencement.txt
Can you provide insights into the historical significance of student processions in commencement ceremonies at CMU?,"The historical significance of student processions in commencement ceremonies at CMU dates back to the university's founding, symbolizing the academic journey and transition of students into alumni. These processions have evolved over time, reflecting changes in academic traditions and societal norms.",Events_Data/Documents/Commencement.txt
"How has the format and organization of diploma ceremonies evolved over the years at CMU, and what factors have influenced these changes?","Over the years, diploma ceremonies at CMU have adapted to accommodate growing numbers of graduates and changes in academic programs. Factors such as advancements in technology, feedback from participants, and shifts in cultural expectations have influenced the format and organization of these ceremonies.",Events_Data/Documents/Commencement.txt
"What are the demographic trends in attendance at commencement events over the past decade, and how have these trends impacted the planning and execution of these events?","Demographic trends in commencement event attendance at CMU have shown increased diversity in recent years, with more international students and non-traditional learners participating. These trends have necessitated inclusive planning strategies to ensure all attendees feel represented and valued.",Events_Data/Documents/Commencement.txt
What are the key challenges faced by event organizers in ensuring the smooth coordination of multiple ceremonies and accommodating diverse needs and preferences of attendees?,"Event organizers face challenges such as coordinating logistics for multiple ceremonies, managing guest expectations, and ensuring equitable access for all attendees. Creative solutions, such as staggered scheduling, virtual participation options, and enhanced communication strategies, are employed to address these challenges.",Events_Data/Documents/Commencement.txt
"Could you elaborate on the cultural and symbolic significance of Gesling Stadium as the venue for commencement ceremonies, and how has this venue contributed to the overall experience of graduates and guests?","Gesling Stadium's significance lies in its capacity to accommodate large gatherings and its central location on campus. The stadium's iconic architecture and communal atmosphere contribute to the memorable experience of commencement ceremonies, fostering a sense of pride and belonging among graduates and guests.",Events_Data/Documents/Commencement.txt
"What strategies and technologies have been implemented to enhance accessibility and inclusivity for individuals with disabilities attending commencement events, and what are the ongoing efforts in this regard?","Efforts to enhance accessibility at commencement events include providing accessible seating, sign language interpreters, captioning services, and assistive listening devices. Ongoing collaboration with disability services offices and feedback from stakeholders inform the development of inclusive practices.",Events_Data/Documents/Commencement.txt
"How do commencement ceremonies at CMU compare to those at other universities in terms of scale, duration, and ceremonial rituals, and what unique elements set them apart?","Commencement ceremonies at CMU are known for their blend of tradition and innovation, reflecting the university's diverse academic community and forward-thinking ethos. Unique elements such as student-led initiatives, interdisciplinary collaborations, and recognition of academic achievements distinguish these events.",Events_Data/Documents/Commencement.txt
"Can you provide examples of memorable keynote speeches delivered at past commencement ceremonies, and how have these speeches influenced the ethos and spirit of the CMU community?","Memorable keynote speeches delivered at past commencement ceremonies have addressed themes such as resilience, leadership, innovation, and social responsibility. These speeches inspire graduates to embrace challenges, pursue their passions, and make a positive impact on the world.",Events_Data/Documents/Commencement.txt
"What initiatives have been undertaken to minimize the environmental footprint of commencement events, such as reducing waste generation, promoting sustainable transportation options, and sourcing eco-friendly materials?","Sustainable practices at commencement events include recycling programs, biodegradable materials for decorations, and encouraging carpooling or public transportation. Partnerships with local vendors and eco-conscious initiatives promote environmental stewardship within the university community.",Events_Data/Documents/Commencement.txt
"How do alumni engagement activities during commencement events contribute to fostering lifelong connections between graduates and their alma mater, and what innovative approaches have been adopted in this regard?","Alumni engagement activities during commencement events foster connections between graduates and their alma mater through networking opportunities, mentorship programs, and alumni panels. Social media campaigns, digital platforms, and alumni associations facilitate ongoing engagement beyond graduation.",Events_Data/Documents/Commencement.txt
Where is Heinz Network Pittsburgh (Invitation Only) taking place?,No information mentioned on the website.,Events_data/Documents/Apr-12_Eventno_50_HeinzNetworkPittsburghInvitationOnly.txt
Can you tell me more about the AB Tech Alumni & Student Mixer?,"Join current and former members of AB Tech for food, fun and conversation during our annual Spring Carnival gathering.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the AB Tech community and their guests.  Cost:  $10/per attendee for alumni and guests No fee for undergraduate students.",Events_data/Documents/Apr-12_Eventno_39_ABTechAlumniStudentMixer.txt
Can you tell me more about the Activities Board Spring Carnival Speakers Show?,"Performer(s) will be added after the Activities Board Speakers committee officially makes their announcement. ""Like"" Activities Board on Instagram for updates on artists, giveaways and location.  Note: Time may change. Tickets details and information to be added in the coming weeks.",Events_data/Documents/Apr-11_Eventno_25_ActivitiesBoardSpringCarnivalSpeakersShow.txt
What is the timing for the Crafting with HR Family Care Initiatives?,Timings for Crafting with HR Family Care Initiatives are 3:00 PM-6:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt
Can you tell me more about the Mellon College of Science Class of 1974 50th Reunion Celebration?,The Mellon College of Science invites MCS alumni from the Class of 1974 to join them for a celebration.  Note: Registration required. No event fee. This event is open to the MCS Class of 1974 and their guests. ,Events_data/Documents/Apr-12_Eventno_43_MellonCollegeofScienceClassof197450thReunionCelebration.txt
What is the timing for the Carnival Activities Tent?,Timings for Carnival Activities Tent are 3:00 PM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_9_CarnivalActivitiesTent.txt
Who can attend TRANSformation through Creation?,Open to entire CMU community.,Events_data/Documents/Apr-12_Eventno_27_TRANSformationthroughCreation.txt
"Where is Lunar Bots, Roll Out! taking place?","Midway Activities Tent, The Cut",Events_data/Documents/Apr-13_Eventno_19_LunarBotsRollOut.txt
Can you tell me more about the SRS Post-Sweepstakes Awards Gathering?,"Join SPIRIT Racing Systems (SRS) alumni, students, friends and family for an update on and celebration of SRS and their accomplishments. Can't make it back to campus? We'll livestream the gathering, so be sure to sign up for the livestream event during registration.  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the Kiltie community and guests.",Events_data/Documents/Apr-13_Eventno_50_SRSPostSweepstakesAwardsGathering.txt
Can you tell me more about the 15th and 20th Reunion Reception (2004 and 2009)?,"Reconnect with former classmates at this signature reunion event. Enjoy a variety of food stations, beverages and desserts!  Note: Registration required. This event is open to alumni from the Classes of 2004 and 2009 and their guests only.  Cost:  Now through Feb. 23: $25 per attendee for alumni and guests. Feb. 24-Apr. 5: $35 per attendee for alumni and guests.",Events_data/Documents/Apr-12_Eventno_52_15thand20thReunionReception2004and2009.txt
